11,1100,24319,34471,43672,27570,14847,50870,65534,438,560,28245,65534,26908,14848,50874,23370,14859,64651,37618,23797,41463,65480,3606,2908,20202,1382,28214,36940,65480,38295,23766,41470,20140,8837,25365,64108,27959,27082,24337,4853,4696,4869,28170,26995,24674,8021,26024,63901,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12,1210,25587,33941,43428,28913,14840,50866,65534,438,560,29591,65534,28246,14842,50870,24674,13979,64318,36259,23836,41488,65480,3606,2908,20247,1382,29588,35577,65480,36939,23806,41493,20196,9782,24049,64474,27841,27065,24288,4853,4696,4869,28055,26982,24627,8907,24704,64300,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,1320,26867,33432,43145,30266,14834,50861,65534,438,560,30943,65534,29593,14835,50865,25993,13129,63925,34893,23873,41515,65480,3606,2908,20281,1382,30968,34210,65480,35576,23844,41519,20233,10774,22746,64790,27724,27047,24244,4853,4696,4869,27935,26963,24579,9834,23395,64640,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14,1430,28157,32948,42828,31617,14828,50856,65534,438,560,32298,65534,30944,14829,50861,27324,12318,63484,33525,23908,41544,65480,3606,2908,20324,1382,32349,32841,65480,34209,23880,41547,20272,11797,21459,65051,27620,27041,24215,4853,4696,4869,27823,26951,24542,10796,22098,64928,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,1540,29452,32491,42476,32973,14822,50851,65533,438,560,33654,65534,32298,14823,50856,28662,11552,62994,32156,23940,41576,65480,3606,2908,20366,1382,33730,31473,65480,32840,23914,41578,20316,12852,20196,65254,27524,27042,24199,4853,4696,4869,27724,26950,24520,11791,20825,65165,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
16,1650,30755,32060,42087,34328,14817,50845,65533,438,560,35009,65534,33653,14818,50850,30008,10827,62449,30791,23970,41610,65480,3606,2908,20386,1382,35103,30111,65480,31473,23945,41611,20348,13945,18957,65401,27431,27044,24186,4853,4696,4869,27628,26951,24505,12819,19575,65341,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,1760,32062,31653,41663,35681,14812,50839,65533,438,560,36360,65534,35008,14813,50844,31358,10138,61853,29432,23998,41646,65480,3606,2908,20396,1382,36468,28755,65480,30111,23974,41646,20361,15070,17738,65495,27345,27051,24184,4853,4696,4869,27537,26954,24497,13880,18344,65458,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,1870,33370,31274,41206,37029,14808,50833,65533,438,560,37705,65534,36359,14809,50838,32711,9494,61211,28080,24024,41685,65480,3606,2908,20407,1382,37822,27408,65480,28755,24001,41683,20371,16223,16546,65533,27274,27072,24201,4853,4696,4869,27457,26968,24504,14973,17141,65523,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19,1980,34678,30924,40716,38371,14804,50826,65533,438,560,39043,65534,37704,14805,50831,34064,8898,60524,26738,24046,41725,65480,3606,2908,20412,1382,39163,26072,65480,27407,24025,41723,20381,17406,15386,65515,27216,27102,24231,4853,4696,4869,27394,26994,24529,16091,15965,65531,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,2090,35983,30601,40194,39704,14801,50819,65533,438,560,40370,65534,39042,14801,50824,35415,8346,59786,25411,24067,41768,65480,3606,2908,20397,1382,40487,24752,65480,26072,24046,41765,20376,18615,14253,65438,27163,27135,24270,4853,4696,4869,27337,27026,24564,17235,14819,65480,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
