0000000022,0000005468,-00703,021309,-01043,005171,011312,-21527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000023,0000005729,-00842,021386,-00918,003241,012353,-20826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000024,0000005989,-01004,021097,-00741,001295,013264,-19939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000025,0000006250,-01172,020883,-00561,-00645,014054,-18901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000026,0000006510,-01303,020409,-00376,-02604,014736,-17684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000027,0000006770,-01392,019598,-00208,-04569,015295,-16299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000028,0000007031,-01474,018507,-00051,-06519,015717,-14727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000029,0000007291,-01563,017353,000135,-08395,015979,-12982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000030,0000007552,-01656,016033,000317,-10189,016092,-11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000031,0000007812,-01709,014659,000492,-11872,016020,-09158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000032,0000008072,-01705,012805,000637,-13413,015773,-07150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000033,0000008333,-01708,011090,000781,-14789,015378,-05126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000034,0000008593,-01750,009496,000944,-16014,014824,-03058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000035,0000008854,-01772,007528,001115,-17066,014140,-00974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000036,0000009114,-01754,005645,001244,-17992,013338,001155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000037,0000009375,-01678,003391,001362,-18788,012426,003318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000038,0000009635,-01622,001276,001472,-19457,011411,005495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000039,0000009895,-01555,-00773,001557,-19983,010273,007656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000040,0000010156,-01460,-02833,001633,-20304,009028,009700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000041,0000010416,-01341,-04865,001686,-20411,007676,011625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000042,0000010677,-01206,-07035,001740,-20234,006225,013409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000043,0000010937,-01053,-09049,001762,-19820,004725,015036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000044,0000011197,-00949,-10734,001803,-19218,003191,016505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000045,0000011458,-00822,-12421,001794,-18423,001657,017810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000046,0000011718,-00649,-14092,001776,-17495,000124,018959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000047,0000011979,-00449,-15885,001727,-16460,-01396,019964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000048,0000012239,-00271,-17266,001672,-15293,-02917,020823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000049,0000012500,-00140,-18204,001600,-13955,-04452,021517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000050,0000012760,000012,-19057,001524,-12464,-05957,022007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000051,0000013020,000198,-19886,001415,-10804,-07416,022268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000052,0000013281,000385,-20543,001290,-09027,-08802,022273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000053,0000013541,000555,-21077,001164,-07140,-10093,021998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000054,0000013802,000676,-21172,001051,-05203,-11268,021483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000055,0000014062,000830,-21334,000923,-03257,-12321,020769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000056,0000014322,000997,-21355,000746,-01299,-13245,019880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000057,0000014583,001168,-21154,000563,000636,-14046,018862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000058,0000014843,001290,-20402,000384,002586,-14724,017687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000059,0000015104,001381,-19609,000223,004537,-15285,016329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
